Post,Comment
264 drivers arrested as police tightens rules ahead of Christmas,Well done
265 drivers arrested as police tightens rules ahead of Christmas,Big up !
266 drivers arrested as police tightens rules ahead of Christmas,Typical third world country
Judicial officers meet on Monday to decide on industrial action,Am not in support of these guys salaries and + + to be given them  judiciary is rotting with corruption  its not independent  bribes  etc. Let CJ first clean house.
Judicial officers meet on Monday to decide on industrial action,As you discuss  also tackle The issue of state attorney's. As you realise sorting out judges and magistrates when state attorneys are left behind Will still lead to chaos.sort judiciary issues at once and get to work. Prisoners are rotting in jail while dangerous suspects are being released because no attorneys to remand them.
Judicial officers meet on Monday to decide on industrial action,Give judges all that they want  give doctors and nurses all they asked for and even engineers are almost starting pliz we expect u for provide all those demands on table ;m7 showed us that uganda is rich by paying big money to fools while giving pinuts to the technocrats. Every one who do govt job and feels they are not well paid should strike and let's see if they can use those idiot they are giving money to work.
Judicial officers meet on Monday to decide on industrial action,every one industrial action then why don't they resign and create their own employment in the field of justice  after all they arent even just especially to the poor but support the rich
Judicial officers meet on Monday to decide on industrial action,Ugandans are just greed for money thats why everyone is talking about salary increase and yet no work is been done.
Judicial officers meet on Monday to decide on industrial action,More than 30 million Ugandans live on less than a dollar a day  are dreaming of buying a bicycle  afford a kg of sugar and maybe... Just maybe... Eat some chips and chicken from KFC...!
Judicial officers meet on Monday to decide on industrial action,i think the gov't should import judicial officers from Cuba like it thought abt the striking doctors.
Judicial officers meet on Monday to decide on industrial action,The timing is perfect for everything on demand
Judicial officers meet on Monday to decide on industrial action,Very right  but security guards?? When thy are suffering more than any only that thy don't talk
Judicial officers meet on Monday to decide on industrial action,Other than wasting time on jikwateko
Judicial officers meet on Monday to decide on industrial action,tttttuuufudde!!  all these demands will govt b in position 2 meet /fulfill them???
Judicial officers meet on Monday to decide on industrial action,Very soon you will hear Jenifer musisi also demanding for a salary increment and a new car.
Judicial officers meet on Monday to decide on industrial action,they hire the cuhan judicial officers to replace them
Judicial officers meet on Monday to decide on industrial action,Everything has an end  God is watching!
Judicial officers meet on Monday to decide on industrial action,I support them
Judicial officers meet on Monday to decide on industrial action,They are the most corrupt
Judicial officers meet on Monday to decide on industrial action,Poor dad rich dad
Judicial officers meet on Monday to decide on industrial action,THESE R OTHER SHAMELESS THIEVES MBU JUDICIARY.THE INNOCENT BLOOD U MAKE GUILTY WIL RUIN THAT BRIBE U ENJOY
